PHOS	TFAT	CARB	MOIS	ALC	CAFF	THEO	FIBE	CALC	IRON	MAGN	POTA	SODI	ZINC	COPP	VC	VB1	VB2	NIAC	VB6	FDFE	FF	VB12	VARA	LZ	ACAR	CRYP	LYCO	ATOC	CHOLN	S140	S120	M161	VITD	M221	PFAT	P226	B12_ADD
1882.9744	108.0066688	258.58140976	2117.78883076	0	20.86	48.175	17.0756384	904.446192	22.7809112	399.360256	2784.523052	10280.607304	13.95906288	2.102455476	73.2890528	1.60670974	2.746445224	19.7970002	2.124152664	1011.781544	607.696544	19.81256	1379.5133	3359.527	2296.582	37.284	7.04	15.41071896	1061.96388	0.512527	0.0595625	1.130261432	23.3773	0.071241	39.262878128	0.792737	0
2017.216411	40.533522345	128.064554405	1445.821722275	7.728	38.88	0	14.4210068	241.6400305	9.689164825	274.849129	1953.9824475	5663.3824405	8.786139895	0.943382616	12.734	0.778668031	1.243747153	17.256788666	1.268744258	296.816119	175.691119	8.8848	474.8065	1521.535	1290.6975	31.73	0	5.1372	601.84823055	0.246151	0.015633	0.441103	8.5404	0.028988	14.351741986	0.495684	0
1776.533	58.05581	200.85376	1927.6535	0	0	0	26.09045	1224.653	12.034435	495.319	3077.135	1850.946	10.06507	1.7612295	83.7276	1.4944945	2.624584	12.59533	1.746724	625.3225	431.3275	3.1264	538.7585	7825.671	58.7585	55.751	1867.14	9.955235	299.41575	0.780772	0.325328	0.287624	4.2924	0.00934	16.6898135	0.00198	0
906.533	80.07178	197.76481	1395.48223	0	0	0	18.9797	599.834	12.39517	280.064	2196.567	2546.028	6.02668	1.220538	200.7529	1.146044	1.234006	14.08575	1.804379	496.586	257.346	1.91905	399.168	671.418	74.612	101.528	1816.8	9.2	130.5283	2.294975	0.980565	0.574132	2.168	0.01349	21.292615	0	1.264
1070.535	91.48035	210.48665	1641.43285	0	88.8	0	21.236	773.485	8.87685	330.2	2673.745	2544.99	6.1583	1.06252	147.2555	1.081545	1.086565	9.792285	1.27255	476.755	328.425	4.2332	689.745	4596.36	1307.5	6.62	658.44	8.31975	204.4905	1.33512	0.69072	0.321275	1.748	0.0164	42.373055	0.00308	2.9356
1495.6025	50.803965	235.552055	1365.215725	0	0	0	36.6457	1365.7025	41.499425	327.881	3064.8965	2656.5525	26.434145	1.4180745	171.6646	2.0557575	0.95788	18.9819675	3.393995	1411.7405	672.1355	6.906045	3221.637	4323.9085	1314.276	3.54	2546.39	7.110805	179.9679	2.135551	0.23888	0.6312975	1.7075	0.000825	13.27577	0	6.377745
844.843125	48.9844725	235.247475	1203.67067625	0	0	0	31.119	848.442375	14.98070125	292.441125	2075.966875	2373.6955	6.2293975	1.28720225	184.3337	1.74846175	1.079153375	9.919140125	0.81492475	489.493875	303.533875	2.01	385.724125	2567.81925	14.32925	133.68375	810.264	12.61990375	144.626825	0.25087975	0.265821875	0.1192675	3.035225	0.00346125	18.293504875	0	2.01
2085.3625	94.3576125	68.794	1637.25481875	0	7.2	0	12.844625	1181.205625	9.70463125	313.683125	2566.736875	2802.915625	17.3117875	0.95976375	52.5405625	0.93625875	3.137808125	12.089173125	1.8260125	302.554375	302.554375	8.3775	1240.778125	10558.7975	1274.651875	22.2	0.034375	7.96028125	739.9475625	1.733990625	0.3307725	1.6176013	8.786	0.00473625	23.568920625	0.08482	0
2285.24	104.78274	90.7175	1225.39828	0	0	0	27.134	1086.08	11.20096	393.304	4357.29	2555.322	14.35664	1.32811	159.344	1.109734	2.989888	34.333648	3.750818	491.77	490.06	15.60126	713.63	2466.88	108.29	121.09	1014.72	12.72374	788.9332	3.596206	0.743868	3.00269	38.9834	0.12928	13.46004	0.97412	0
2567.6736	142.2285372	44.81469744	1284.99389644	0	0	0	10.6793096	1345.695548	8.0956928	323.051564	3781.596888	3550.058576	12.45224072	0.854581744	66.5977632	1.04803956	2.919623056	32.7325378	2.971225416	334.618636	315.578636	21.3485	1219.5807	2286.993	30.65	43.746	0	16.25472224	904.41462	3.864551	0.941377	2.989146608	70.64	0.140884	39.251771032	2.06813	0.168
2673.93	202.2721	445.9172	1139.861	14.04	127.82	228.41	25.773	1938.24	21.2205	397.51	2722.83	7234.1	15.9523	1.57943	10.779	2.63402	3.2982	26.47432	1.45589	933.14	370.91	6.5967	1059.57	1605.36	14.91	60.83	9423.23	15.5348	666.372	6.11558	1.77121	2.05387	6.856	0.0503	44.2694	0.09584	0
2231.32456	170.38668404	395.7209697	1494.02423434	14.04	342.36	99.9	21.0902344	1874.57594	17.13732216	379.741674	1939.73187	5997.158778	18.07303862	1.229321114	20.6785344	2.08259206	2.968305956	29.713103122	1.080072552	830.042956	263.063356	6.516618	954.35095	320.48163	4.15649	14.6514	6085.5435	8.8086611	261.0301088	7.695446608	2.235598792	2.887998062	1.8895398	0.0112006	38.32591597	0.0200088	0
2381.76	184.6019	396.6053	2056.5083	19.14	163.68	74.4	20.737	1509.12	17.253	425.285	4723.925	5724.94	16.23365	1.487885	45.905	2.41418	3.19104	36.691765	2.4717	655.035	287.04	5.75965	870.76	388.485	0.21	31.19	13795.2	15.242	434.634	5.15078	1.800985	2.27614	9.911	0.01762	37.55693	0.00121	0
1467.27025	63.32592875	138.69725375	1521.44718125	0	74.88	5.04	11.63265	370.893375	15.71560375	316.63275	2403.826125	6520.220375	8.30026125	1.446822625	29.4275	1.274615875	1.355867875	32.738916	2.5120825	447.18325	153.30325	11.35061	109.0855	197.61	6.51	3.255	0	5.6782	445.8130125	0.7295425	0.017087	0.787674	30.4044	0.1321	25.514141125	0.93508	0
1116.04514	52.9679828	162.2048122	1617.162856	0	30.24	0	8.517682	749.91632	12.469168	297.90246	2037.1864	7117.08222	10.3048598	1.29887572	35.8615	1.24788982	1.8558396	17.34725384	1.31155692	448.27256	338.12256	2.96925	453.4945	3578.01	170.15	9.0825	232.91	5.02784	405.715732	0.863497	0.171972	0.554755	4.6946	0.0048	16.10304452	0.054905	0
1148.84015	47.0325128	93.19985006	1751.12736356	0	106.56	7.2	8.7692154	555.837952	11.5635172	286.153186	2195.207612	5908.415174	7.81847678	1.116776256	31.5204868	1.17880719	1.989714444	25.8844847	1.586268084	298.840864	156.560864	10.71852	307.65705	477.325	598.215	39.90875	112	4.37949276	383.91873	1.1189979	0.09061	1.242767	22.667	1.575872	14.229532968	1.827152	0
1346.2416724	74.34177586	146.294855	1350.27153406	0	25.92	0	27.2153	854.2157728	12.599863174	523.698143	2488.0133306	2252.11387	9.744305436	1.7631305	99.51345	0.964709	1.154573002	13.1816405	1.0983805	334.0163286	300.7263286	0.537972718	251.903799	1151.248	194.4875	196.06	578.925	6.519244188	175.91113894	1.550414744	0.48133383	1.048852478	0.61615	0.00158	20.035052816	0	0
936.440625	67.62020375	94.22031875	1212.674645	0	0	0	15.045425	731.430875	8.42404375	253.334875	2286.75925	1825.293375	6.44248625	1.09543025	61.9560125	0.50224775	1.603255125	6.6767615	1.114354375	271.90975	237.65975	1.998345	786.732125	7889.72775	7.33	46.47	265.2	12.20225375	342.3738125	2.1139365	0.6691315	0.8331841	4.4194	0.000616	13.417910625	0.05184	0
1175.75275	66.680235	133.05163125	1395.24538125	0	0	0	21.031	955.2605	8.0174825	303.469875	1645.382875	2401.79	8.45684875	1.344409125	76.4796	0.73026075	1.6220435	8.299534625	0.776128	252.348875	252.348875	1.9338	750.61075	4267.808125	735.53125	23.298	4.91025	11.927145	222.1075375	2.343428	0.732186	0.5713655	2.8885	0.003213	16.969687125	0.02552	0
903.5547	73.604622	265.371301	1486.171291	0	104.904	11.656	28.48379	447.735	17.448876	304.5359	2096.0223	1976.1382	7.876634	1.9428841	95.18121	1.8104157	1.6489541	20.8013102	5.0796393	1833.808	302.618	11.762175	539.8935	2718.9065	681.5535	35.6125	11452.5	17.549739	135.16917	0.8163293	0.27501	0.1886994	1.42775	0.0030825	39.7616415	0.0010275	11.570625
964.09	39.1721	183.5387	1263.1328	0	17.28	1.92	23.708	631.115	10.8514	210.7	2367.75	1968.165	5.125	1.019585	68.2925	1.018295	0.863905	10.02516	1.24271	398.88	281.96	2.3806	351.8	1427.13	625.75	11.04	867.85	4.84055	127.2745	1.053525	0.32254	0.405535	1.494	6e-04	9.264865	0	1.632
2019.8645	71.80563	50.392	1162.64325	0	0	0	4.45475	1488.1265	6.04686	244.9315	1905.6505	2764.9925	13.19274	0.412613	10.8558	0.9148135	3.139788	7.167447	1.216704	171.9885	158.0685	7.3511	831.3885	1785.6675	27.34	19.144	3417.177	4.44096	636.35505	2.7066415	0.732638	1.2543115	10.22575	0.003047	11.206072	0.09071	0
2093.769	80.16583	49.65185	828.18792	0	0	0	6.327	796.177	6.61109	256.235	2561.666	3198.862	9.96388	0.529316	42.771	0.902716	2.595301	22.228681	2.109101	210.927	210.927	7.46673	771.99	1690.33	145.59	11.85	0	6.55953	782.0677	3.074507	0.905435	1.487107	7.086	0.00603	15.196695	0.25972	0
2631.291	130.39926	77.50692	1801.33383	0	100.8	0	9.8251	1118.673	17.3809	429.87	3002.787	3471.098	33.12392	1.030046	36.2468	1.648895	3.646704	17.404979	2.890061	264.357	264.357	14.61799	761.902	3291.709	9.734	23.788	0	8.25613	869.6476	4.733317	1.345965	2.485587	6.3164	0.089774	25.810561	0.242164	1.47
1430.257392	120.83726332	389.91511268	1418.14500568	0	35.3895	74.4705	14.7169608	331.679576	12.69395944	198.528092	2360.194504	3783.73196	4.39131296	0.987780404	127.77725	1.261752632	1.223955472	32.17972212	2.010300848	316.043184	82.8476	11.06765	276.2025	510.594676	8.325	19.048	0	13.54650088	394.5550084	1.918803036	0.482495552	0.915405572	30.6635	0.23183	33.437914908	0.9300815	0
1850.823	127.8328	296.26318	1820.21538	28.08	150.3	49.95	20.7195	1052.946	21.28377	273.258	2496.931	4514.221	17.06066	1.209394	14.3575	2.390365	2.62443	37.490035	1.982527	900.847	293.342	5.8485	515.695	591.97	16.825	68.14	5841.49	7.1501	563.5421	3.49532	0.96344	1.39658	2.191	0.03428	31.92782	0.037355	0
2589.119008	134.24298788	274.00568204	1522.06543876	15.264	180.92	39.52	9.9905108	2179.159572	20.71138444	362.273044	3437.796784	6495.103784	25.56867296	1.168212904	20.4605476	2.517316464	3.224331848	47.787936236	3.762052848	662.69266	131.674576	10.483005	675.610844	214.735176	3.0275	36.9075	4568.2375	9.435789	500.1428136	4.6251991	0.929470252	2.490690276	9.3306612	0.0094725	23.60347796	0.005175	0
1590.666	78.11791	158.811305	1679.14807	0	43.2	0	17.60675	461.413	18.23962	396.496	3184.2315	8431.404	9.71527	1.5219265	79.68635	1.790166	2.2010845	33.0372155	2.341211	548.8345	228.6045	10.81297	705.466	1980.485	1717.8275	92.735	2631.12	9.29107	569.8275	0.955128	0.042017	1.703755	21.4512	1.528199	26.7330585	1.825228	0
1135.841411	52.089037345	120.582104405	1210.669942275	9.66	17.28	0	6.9827568	504.6970305	9.027409825	192.518129	1765.7879475	5720.0479405	6.433204895	0.909722616	53.9115	0.899040031	1.331251153	15.375811166	1.132127258	424.940119	170.280119	3.04584	316.2035	1160.73	12.355	11.5305	228.704	6.04342	352.41273055	0.689917	0.143446	0.648007	7.3094	0.003536	18.933903486	0.191744	0
2060.832375	51.98047	171.16955	1716.73028875	5.1	20.16	0	14.0268125	1298.93375	19.1578275	377.537	2918.9195	7474.33475	8.79343375	1.345592125	84.57	1.453540125	1.792674875	32.012556875	2.136547125	574.06825	260.49825	35.48745	516.092	151.935	34.8185	12.87175	995.9	6.00473125	523.3155375	1.5351375	0.41402	0.445154	10.13025	0.019045	15.684092	0.390923	0
