F_TOTAL	F_CITMLB	F_JUICE	V_TOTAL	V_DRKGR	V_REDOR_TOTAL	V_REDOR_OTHER	V_STARCHY_TOTAL	PF_SEAFD_LOW	V_OTHER	PF_LEGUMES	G_TOTAL	G_WHOLE	PF_TOTAL	PF_MEAT	PF_CUREDMEAT	PF_POULT	PF_SEAFD_HI	PF_EGGS	PF_SOY	PF_NUTSDS	D_TOTAL	D_MILK	D_YOGURT	OILS	SOLID_FATS	ADD_SUGARS
0.1176	0	0	2.89696	0.3906	0.434	0.434	0	2.4755	2.07236	1.64085	7.9509	0	13.21257	0	0	0	1.93347	5.4066	3.397	0	0.354	0.354	0	49.10032296	16.15276	5.66129
0	0	0	1.643025	0.0224	0.266225	0.266225	0.4248	11.54056	0.9296	0.096	4.3183	2.0638	14.79964	0	0	0	1.38348	1.7796	0.096	0	0.0244	0	0	15.5267	10.2052	0
2.75558	0	0.42768	1.841565	0.89509	0.0396	0	0	0	0.906875	1.8423	5.7712	0	4.525	0	0	0	0	0	0	4.525	3.02724	1.31144	0	29.48655	9.65184	0.6191
1.9057	0.03675	1.0416	1.387	0	0.277	0.025	0	0	1.11	1.54575	4.8356	1.072	2.08475	0	0	0	0	0.056	0	2.02875	1.0662	0	0.441	48.30555	21.6925	1.7703
0	0	0	3.1022	0.9562	0.354	0.2478	0.3894	0	1.4026	1.15245	4.1682	1.56	0.3164	0	0	0	0	0.1232	0.1932	0	1.4018	0.504	0.0354	72.98	11.1804	13.0955
0.7866	0.7866	0	3.32186	0.2478	0.4455	0.2478	0.3894	0	2.23916	5.3212	6.5564	1.3695	0	0	0	0	0	0	0	0	1.3774	0	0.0354	21.0015	17.2935	0.198
1.5555	1.5555	0	1.6683775	0.53949	0.155385	0.130425	0.1288625	0	0.84464	3.842675	5.9347	1.77	1.23349125	0	0	0	0	0.02496	0	1.20853125	0.36	0.36	0	33.46266375	4.3194475	15.2049
0.65995	0.65995	0	1.651475	0.917875	0.2445	0.2445	0	0	0.4891	0	0	0	9.660275	3.78	0.2016	0	0	2.622	1.4105	1.646175	3.3008	2.0008	0	34.43713125	28.39753125	1.52799375
0	0	0	4.7914	0.7695	0.098	0.098	0.3304	0	3.5935	0	0.0855	0	12.40304	3.0906	0	0	7.55244	1.76	0	0	3.1638	2.1376	0	39.9156	30.6205	0
0	0	0	2.25889	0.697	0	0	0	0	1.56189	0	0	0	15.5553	0	0.48768	0	12.10392	2.9637	0	0	3.570125	1.668	0	65.04077824	36.137115	0.41088
0	0	0	0.8819	0	0.3916	0	0.1888	0	0.3015	0	17.9732	0	3.8442	0	0.417	0	0	3.4272	0	0	5.1557	1.2598	0	70.9263	104.3982	30.3123
0.027348	0	0.027348	0.54288458	0	0.3894	0	0	0	0.15348458	0	16.550724	0	4.42128	0.3186	2.9292	0	0	0.39948	0	0.774	5.509355	0	0	41.3934392	106.06873412	25.98088
1.84415	0	0	3.008	0	0.439	0	2.569	0	0	0	10.6003	0	5.1698	3.667	1.5028	0	0	0	0	0	3.6258	2.51	0	43.6742	116.2686	16.05615
0	0	0	1.2263	0	0	0	0	0.096	1.2263	2.253	4.8926	0	9.55684	1.29115	0	0	7.55244	0	0.61725	0	0	0	0	20.95903	12.18	0
0.373275	0.13125	0	1.8076	0.3569	0	0	0.1085	0.144	1.3422	0.288	4.4314	0	7.6721	2.5746	0.566	0.8463	0	1.3332	2.208	0	0.86132	0.86132	0	12.636	15.74668	0.2268
0.1684375	0.065625	0	0.82041	0.0413	0.108	0.108	0.104	0.192	0.56711	1.4145	2.7214	0.2725	8.17125	1.97883	0.2016	0	3.66282	0.76	1.376	0	0.50225	0	0.50225	14.89212176	5.2235	0.3525
